Contract,ContractType,LinesOfCode,NumFunctionCalls,NumLoops,NumIfs,NumUnsafeBlocks,NumAnchorMacros,NumPDAs,NumCPICalls,NumStateAccounts,NumTokenAccounts,ComplexityScore,SecurityScore,VulnerabilityType,Severity,ContractCode,VulnCategory,OWASP_Category,OWASP_ID,New_Severity,Impact,Likelihood,RiskScore,num_signer_checks,num_owner_checks,num_pda_checks,num_bump_validations,num_account_checks,num_cpi_calls,num_program_checks,num_require_asserts,num_anchor_constraints,num_error_handlers,num_custom_errors,num_unsafe_blocks,num_mut_refs,num_raw_pointers,num_transfers,num_token_ops,has_proper_validation,has_proper_error_handling,is_high_risk,is_unsafe,ProcessedTimestamp,DatasetVersion
OverflowAnchor1,Anchor,125,11,2,5,0,5,2,2,2,2,4,6,Arithmetic Overflow,High,,Integer Overflow,Runtime Safety,SC01,High,7.5,6.0,4.5,0,0,2,0,0,2,0,0,5,0,0,0,0,0,0,2,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
OverflowAnchor2,Anchor,120,10,1,4,0,4,2,2,2,2,4,6,Arithmetic Overflow,Medium,,Integer Overflow,Runtime Safety,SC01,High,7.5,6.0,4.5,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,2,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
OverflowRaw1,Raw,100,8,1,3,0,0,1,1,1,1,3,7,Arithmetic Overflow,Medium,,Integer Overflow,Runtime Safety,SC01,High,7.5,6.0,4.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
UnauthorizedDebitAnchor1,Anchor,145,13,1,7,0,7,3,4,2,3,6,4,Unauthorized Debit,Critical,,Unauthorized Transfer,Access Control,SC02,Critical,9.5,8.0,7.6,0,0,3,0,0,4,0,0,7,0,0,0,0,0,0,3,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
UnauthorizedDebitAnchor2,Anchor,140,12,1,6,0,6,3,3,2,2,5,5,Unauthorized Debit,High,,Unauthorized Transfer,Access Control,SC02,Critical,9.5,8.0,7.6,0,0,3,0,0,3,0,0,6,0,0,0,0,0,0,2,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
UnauthorizedDebitRaw1,Raw,120,10,1,4,0,0,2,2,1,2,4,6,Unauthorized Debit,High,,Unauthorized Transfer,Access Control,SC02,Critical,9.5,8.0,7.6,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
PDAValidationAnchor1,Anchor,135,12,1,5,0,5,4,3,2,2,5,5,PDA Validation,High,,PDA Validation,Account Safety,SC07,High,8.0,7.0,5.6,0,0,4,0,0,3,0,0,5,0,0,0,0,0,0,2,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
PDAValidationAnchor2,Anchor,130,11,1,4,0,4,3,2,2,2,4,6,PDA Validation,Medium,,PDA Validation,Account Safety,SC07,High,8.0,7.0,5.6,0,0,3,0,0,2,0,0,4,0,0,0,0,0,0,2,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
PDAValidationRaw1,Raw,115,9,1,3,0,0,2,2,1,1,3,7,PDA Validation,Medium,,PDA Validation,Account Safety,SC07,High,8.0,7.0,5.6,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
TokenAccountAnchor1,Anchor,155,14,2,6,0,6,3,4,2,4,6,4,Token Account,Critical,,Token Security,Token Safety,SC02,High,8.5,7.0,6.0,0,0,3,0,0,4,0,0,6,0,0,0,0,0,0,4,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
TokenAccountAnchor2,Anchor,150,13,2,5,0,5,3,3,2,3,5,5,Token Account,High,,Token Security,Token Safety,SC02,High,8.5,7.0,6.0,0,0,3,0,0,3,0,0,5,0,0,0,0,0,0,3,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
TokenAccountRaw1,Raw,130,11,1,4,0,0,2,2,1,2,4,6,Token Account,High,,Token Security,Token Safety,SC02,High,8.5,7.0,6.0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
CPIAnchor1,Anchor,160,15,2,7,0,7,4,6,3,2,7,3,CPI Validation,Critical,,CPI Validation,Secure,None,None,0.0,0.0,0.0,0,0,4,0,0,6,0,0,7,0,0,0,0,0,0,2,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
CPIAnchor2,Anchor,155,14,2,6,0,6,3,5,2,2,6,4,CPI Validation,Critical,,CPI Validation,Secure,None,None,0.0,0.0,0.0,0,0,3,0,0,5,0,0,6,0,0,0,0,0,0,2,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
CPIRaw1,Raw,135,12,1,5,0,0,2,4,2,1,5,5,CPI Validation,High,,CPI Validation,Secure,None,None,0.0,0.0,0.0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,1,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
StateAccountAnchor1,Anchor,140,13,1,5,0,5,2,3,4,2,5,5,State Account,High,,State Management,State Safety,SC07,High,8.0,6.0,4.8,0,0,2,0,0,3,0,0,5,0,0,0,0,0,0,2,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
StateAccountAnchor2,Anchor,135,12,1,4,0,4,2,2,3,2,4,6,State Account,Medium,,State Management,State Safety,SC07,High,8.0,6.0,4.8,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,2,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
StateAccountRaw1,Raw,120,10,1,3,0,0,1,2,2,1,3,7,State Account,Medium,,State Management,State Safety,SC07,High,8.0,6.0,4.8,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
ConstraintAnchor1,Anchor,145,14,2,6,0,6,3,3,2,2,5,5,Constraint Validation,High,,Input Validation,Validation,SC08,High,7.5,7.0,5.2,0,0,3,0,0,3,0,0,6,0,0,0,0,0,0,2,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
ConstraintAnchor2,Anchor,140,13,2,5,0,5,3,2,2,2,4,6,Constraint Validation,Medium,,Input Validation,Validation,SC08,High,7.5,7.0,5.2,0,0,3,0,0,2,0,0,5,0,0,0,0,0,0,2,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
ConstraintRaw1,Raw,125,11,1,4,0,0,2,2,1,1,3,7,Constraint Validation,Medium,,Input Validation,Validation,SC08,High,7.5,7.0,5.2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
SerializationAnchor1,Anchor,130,12,1,5,0,5,2,2,2,1,4,6,Serialization,High,,Data Integrity,Data Safety,SC08,Medium,6.5,5.5,3.6,0,0,2,0,0,2,0,0,5,0,0,0,0,0,0,1,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
SerializationAnchor2,Anchor,125,11,1,4,0,4,2,2,2,1,4,6,Serialization,Medium,,Data Integrity,Data Safety,SC08,Medium,6.5,5.5,3.6,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,1,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
SerializationRaw1,Raw,110,9,1,3,0,0,1,1,1,1,3,7,Serialization,Medium,,Data Integrity,Data Safety,SC08,Medium,6.5,5.5,3.6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
InitializationAnchor1,Anchor,150,14,2,6,0,6,3,3,3,2,5,5,Initialization,High,,Initialization,Secure,None,None,0.0,0.0,0.0,0,0,3,0,0,3,0,0,6,0,0,0,0,0,0,2,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
InitializationAnchor2,Anchor,145,13,2,5,0,5,3,2,2,2,4,6,Initialization,Medium,,Initialization,Secure,None,None,0.0,0.0,0.0,0,0,3,0,0,2,0,0,5,0,0,0,0,0,0,2,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
InitializationRaw1,Raw,130,11,1,4,0,0,2,2,2,1,3,7,Initialization,Medium,,Initialization,Secure,None,None,0.0,0.0,0.0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
OwnershipAnchor1,Anchor,140,13,1,6,0,6,3,3,2,2,5,5,Ownership,High,,Ownership,Secure,None,None,0.0,0.0,0.0,0,0,3,0,0,3,0,0,6,0,0,0,0,0,0,2,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
OwnershipAnchor2,Anchor,135,12,1,5,0,5,3,2,2,2,4,6,Ownership,Medium,,Ownership,Secure,None,None,0.0,0.0,0.0,0,0,3,0,0,2,0,0,5,0,0,0,0,0,0,2,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
OwnershipRaw1,Raw,120,10,1,4,0,0,2,2,1,1,3,7,Ownership,Medium,,Ownership,Secure,None,None,0.0,0.0,0.0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
SysvarAnchor1,Anchor,125,11,1,4,0,4,2,2,2,1,4,6,Sysvar Usage,High,,Sysvar Usage,Secure,None,None,0.0,0.0,0.0,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,1,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
SysvarAnchor2,Anchor,120,10,1,3,0,3,2,2,2,1,3,7,Sysvar Usage,Medium,,Sysvar Usage,Secure,None,None,0.0,0.0,0.0,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,1,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
SysvarRaw1,Raw,105,8,1,2,0,0,1,1,1,1,2,8,Sysvar Usage,Low,,Sysvar Usage,Secure,None,None,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,False,False,True,False,2025-03-24 03:50:45.778556,2.0.0
AccessControlRaw3,Raw,95,6,0,1,0,0,0,0,0,0,0,0,Access Control,Medium,,Access Control,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
AccessControlRaw4,Raw,100,7,0,2,0,0,0,0,0,0,0,0,Access Control,Medium,,Access Control,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
ArithmeticAnchor3,Anchor,130,10,1,3,0,5,0,0,0,0,0,0,Arithmetic,Medium,,Arithmetic,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
ArithmeticAnchor4,Anchor,125,9,1,3,0,4,0,0,0,0,0,0,Arithmetic,Medium,,Arithmetic,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
ArithmeticRaw3,Raw,120,11,2,5,0,0,0,0,0,0,0,0,Arithmetic,Medium,,Arithmetic,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
MemorySafety4,Raw,140,10,1,5,2,0,0,0,0,0,0,0,Memory Safety,Medium,,Memory Safety,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,False,False,False,True,2025-03-24 03:50:45.778556,2.0.0
MemorySafety5,Raw,115,8,1,3,2,0,0,0,0,0,0,0,Memory Safety,Medium,,Memory Safety,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,False,False,False,True,2025-03-24 03:50:45.778556,2.0.0
MemorySafety6,Raw,125,9,1,4,3,0,0,0,0,0,0,0,Memory Safety,Medium,,Memory Safety,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,False,False,False,True,2025-03-24 03:50:45.778556,2.0.0
S01_Overflow1,Raw,115,10,2,3,0,0,0,0,0,0,0,0,Integer Overflows and Underflows,Medium,,Integer Overflow,Runtime Safety,SC01,High,7.5,6.0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S01_Overflow2,Raw,110,9,1,2,0,0,0,0,0,0,0,0,Integer Overflows and Underflows,Medium,,Integer Overflow,Runtime Safety,SC01,High,7.5,6.0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S01_Overflow3,Raw,125,11,2,4,0,0,0,0,0,0,0,0,Integer Overflows and Underflows,Medium,,Integer Overflow,Runtime Safety,SC01,High,7.5,6.0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S01_Overflow4,Raw,130,10,1,3,0,0,0,0,0,0,0,0,Integer Overflows and Underflows,Medium,,Integer Overflow,Runtime Safety,SC01,High,7.5,6.0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S01_Overflow5,Raw,135,14,2,7,0,0,0,0,0,0,0,0,Integer Overflows and Underflows,Medium,,Integer Overflow,Runtime Safety,SC01,High,7.5,6.0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S02_SysvarUnverified1,Anchor,132,10,0,3,0,6,0,0,0,0,0,0,Missing System Account Check,Medium,,System Account Abuse,Program Security,SC02,Critical,9.0,6.5,5.8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S02_SysvarUnverified2,Anchor,134,11,0,4,0,7,0,0,0,0,0,0,Missing System Account Check,Medium,,System Account Abuse,Program Security,SC02,Critical,9.0,6.5,5.8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S02_SysvarUnverified3,Anchor,136,12,0,5,0,8,0,0,0,0,0,0,Missing System Account Check,Medium,,System Account Abuse,Program Security,SC02,Critical,9.0,6.5,5.8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S02_SysvarUnverified4,Anchor,138,13,0,6,0,9,0,0,0,0,0,0,Missing System Account Check,Medium,,System Account Abuse,Program Security,SC02,Critical,9.0,6.5,5.8,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S02_SysvarUnverified5,Anchor,138,10,0,3,0,5,0,0,0,0,0,0,Missing System Account Check,Medium,,System Account Abuse,Program Security,SC02,Critical,9.0,6.5,5.8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S03_NoErrorCheck1,Anchor,122,10,1,4,0,4,0,0,0,0,0,0,Lack of Error Handling,Medium,,Error Handling,Program Safety,SC05,Medium,6.0,5.0,3.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S03_NoErrorCheck2,Raw,124,11,2,5,0,0,0,0,0,0,0,0,Lack of Error Handling,Medium,,Error Handling,Program Safety,SC05,Medium,6.0,5.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S03_NoErrorCheck3,Anchor,120,9,1,3,0,3,0,0,0,0,0,0,Lack of Error Handling,Medium,,Error Handling,Program Safety,SC05,Medium,6.0,5.0,3.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S03_NoErrorCheck4,Anchor,135,11,2,4,0,5,0,0,0,0,0,0,Lack of Error Handling,Medium,,Error Handling,Program Safety,SC05,Medium,6.0,5.0,3.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S03_NoErrorCheck5,Anchor,130,14,2,8,0,8,0,0,0,0,0,0,Lack of Error Handling,Medium,,Error Handling,Program Safety,SC05,Medium,6.0,5.0,3.0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S04_PDABypass1,Anchor,146,12,0,4,0,7,0,0,0,0,0,0,PDA Substitution Check,Medium,,PDA Substitution Check,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S04_PDABypass2,Anchor,147,13,0,5,0,8,0,0,0,0,0,0,PDA Substitution Check,Medium,,PDA Substitution Check,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S04_PDABypass3,Anchor,148,14,0,6,0,9,0,0,0,0,0,0,PDA Substitution Check,Medium,,PDA Substitution Check,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S04_PDABypass4,Anchor,145,11,0,3,0,6,0,0,0,0,0,0,PDA Substitution Check,Medium,,PDA Substitution Check,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S04_PDABypass5,Anchor,150,16,0,8,0,11,0,0,0,0,0,0,PDA Substitution Check,Medium,,PDA Substitution Check,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S05_DivZero1,Raw,105,8,1,3,1,0,0,0,0,0,0,0,Panic Due to Division by Zero,Medium,,Runtime Safety,Runtime Safety,SC06,Medium,6.5,5.0,3.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,False,True,2025-03-24 03:50:45.778556,2.0.0
S05_DivZero2,Raw,100,7,1,2,1,0,0,0,0,0,0,0,Panic Due to Division by Zero,Medium,,Runtime Safety,Runtime Safety,SC06,Medium,6.5,5.0,3.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,False,True,2025-03-24 03:50:45.778556,2.0.0
S05_DivZero3,Raw,110,9,1,3,1,0,0,0,0,0,0,0,Panic Due to Division by Zero,Medium,,Runtime Safety,Runtime Safety,SC06,Medium,6.5,5.0,3.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,False,True,2025-03-24 03:50:45.778556,2.0.0
S05_DivZero4,Raw,120,10,2,4,1,0,0,0,0,0,0,0,Panic Due to Division by Zero,Medium,,Runtime Safety,Runtime Safety,SC06,Medium,6.5,5.0,3.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,False,True,2025-03-24 03:50:45.778556,2.0.0
S05_DivZero5,Raw,115,9,2,4,1,0,0,0,0,0,0,0,Panic Due to Division by Zero,Medium,,Runtime Safety,Runtime Safety,SC06,Medium,6.5,5.0,3.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,False,True,2025-03-24 03:50:45.778556,2.0.0
S06_InitOverride1,Anchor,120,8,0,2,0,5,0,0,0,0,0,0,Account Initialized Check,Medium,,Account Initialization,Account Safety,SC07,High,8.0,6.5,5.2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S06_InitOverride2,Anchor,126,10,0,4,0,7,0,0,0,0,0,0,Account Initialized Check,Medium,,Account Initialization,Account Safety,SC07,High,8.0,6.5,5.2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S06_InitOverride3,Anchor,129,11,0,5,0,8,0,0,0,0,0,0,Account Initialized Check,Medium,,Account Initialization,Account Safety,SC07,High,8.0,6.5,5.2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S06_InitOverride4,Anchor,132,12,0,6,0,9,0,0,0,0,0,0,Account Initialized Check,Medium,,Account Initialization,Account Safety,SC07,High,8.0,6.5,5.2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S06_InitOverride5,Anchor,125,9,0,3,0,5,0,0,0,0,0,0,Account Initialized Check,Medium,,Account Initialization,Account Safety,SC07,High,8.0,6.5,5.2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S07_RoundingBug1,Raw,136,11,0,4,0,0,0,0,0,0,0,0,Loss of Precision,Medium,,Loss of Precision,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S07_RoundingBug2,Raw,137,12,0,5,0,0,0,0,0,0,0,0,Loss of Precision,Medium,,Loss of Precision,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S07_RoundingBug3,Raw,138,13,0,3,0,0,0,0,0,0,0,0,Loss of Precision,Medium,,Loss of Precision,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
